id,region,year,text,sentiment,dimensions
491,Singapore,2022-01,Great safety culture to take care of you,positive,Belonging
492,American,2021-12,"Work-life balance. Career development, Competitive Salary",positive,Collaboration|Recognition
493,American,2021-12,"Great workplace to work, good career opportunity",positive,Belonging
494,Australia,2021-12,Health benefits employee discounts various rosters,positive,Inclusion
495,Australia,2021-12,They are very nice people It is a comfortable work location They support flexible work arrangements,positive,Collaboration
496,Singapore,2021-11,1-Good salary and benefits 2-Good working environment,positive,Collaboration
497,United Kingdom,2021-12,All good except some grumpy people,positive,Belonging
498,American,2021-11,"Good people, salary very fair (45% uplift on base for fifo)",positive,Recognition
499,Australia,2021-11,Good benefits housing cutting edge,positive,Recognition
500,American,2021-12,"Big company, global portfolio, good policies",positive,Inclusion
501,Canada,2021-11,"Good salary and benefits Variety, interesting and challenging work Flexible work hours",positive,Recognition
502,Australia,2021-11,Good benefits across the country.,positive,Belonging
503,Australia,2021-11,"Great pay, health insurance benefits, smart people, great training and endless opportunities",positive,Belonging
504,Australia,2021-11,- Strong safety culture - Some very talented and smart people - Might be good for a year or two - Working on the mine can be good money for unskilled labour and they will train you well,positive,Collaboration
505,Singapore,2021-11,Good work-life balance and healthcare,positive,Inclusion
506,American,2021-11,"Good pay, health benefits and share scheme. Passionate colleagues.",positive,Recognition|Belonging
507,American,2021-10,Good insurance benefits if you are permanent City location is a nice facility Fancy Nespresso machines Lot of secondment opportunities if your boss approves,positive,Inclusion
508,Singapore,2021-10,Good company culture across various business units,positive,Belonging
509,United Kingdom,2021-10,Fab and only getting better,positive,Belonging
510,Singapore,2021-10,"Flexible working, competitive salary and growth opportunities",positive,Recognition
511,United Kingdom,2021-10,free lunch and social club,positive,Collaboration
512,Singapore,2021-10,"Rio Tinto pays well compared to other companies in the industry. Probably 20% more than the average. However, your salary will never change beyond your starting salary plus a small annual inflation bump.",positive,Recognition|Inclusion
513,Canada,2021-10,"Security, world travel, different languages",positive,Collaboration
514,Singapore,2021-10,"Good compensation, cares for their employees",positive,Belonging
515,Canada,2021-10,"- excellent benefits - cie takes at heart well-being of employees - great work environment, ""one team"" topic very present",positive,Collaboration
516,American,2021-09,"Quality process, process drive, ownership",positive,Belonging
517,Singapore,2021-09,Senior leaders are doing extensive personal development work to lay the foundation for significant cultural change,positive,Belonging
518,Australia,2021-10,"Good pay, friendly team, flexible work time",positive,Belonging
519,American,2021-09,Career opportunities are alot and wide,positive,Diversity
520,Singapore,2021-09,"I am a Senior Data Engineer at Rio Tinto Commercial (Singapore) office Good Benefit ""Above Average"" Compensation",positive,Recognition
521,United Kingdom,2021-09,Good pay and nice people liked them,positive,Recognition
522,American,2021-09,"Used to be good several years ago, but has been run into the ground bit by bit over the last couple of years",negative,Leadership
523,American,2021-09,"Multiple opportunities, diverse portfolios and great leaders, Manager to MD. People at centre programme",positive,Diversity|Belonging
524,American,2021-09,"Work with a talented and caring bunch of team members. Salary and benefits great. If you are prepared to stretch yourself there are many opportunities for professional growth and Mobility. Internal language and posture improving in areas of environment, diversity and respect. Trying hard to break down ""typical miner"" attitudes and culture.",positive,Collaboration|Belonging|Innovation|Inclusion
525,Singapore,2021-09,Good compensation package and benefits,positive,Belonging
526,Canada,2021-08,An employer who cares about physical and psychological health and safety of its employees. Very competitive compensation.,positive,Respect|Recognition
527,American,2021-08,Good environment group of people,positive,Belonging
528,American,2021-08,Great place to work with highly experienced professionals,positive,Belonging
529,American,2021-08,Excellent people. Career progression is possible.,positive,Belonging
530,Canada,2021-08,Salary and benefits International opportunities Flex hours and locations,positive,Recognition
531,Australia,2021-08,Great friendly environment and very work from home positive and flexible hours . Medium to high pressure workloads.,positive,Inclusion|Collaboration
532,Singapore,2021-08,"Pay, good benefits, nice office",positive,Recognition
533,Australia,2021-07,"sick leave unlimited, private health cover",negative,Inclusion
534,Australia,2021-08,Good salary Mature processes Nice people Pretty rich and generous,positive,Belonging
535,Singapore,2021-07,"work life balance , relax environment",positive,Belonging
536,Australia,2021-07,Good big mining company to work for,positive,Inclusion
537,American,2021-07,Global Company with opportunity to move,positive,Inclusion
538,American,2021-08,"Shares,super ,holidays ,even time roster.",positive,Collaboration
539,Australia,2021-07,Good to work - face paced and a very global company,positive,Belonging
540,Australia,2021-07,"Good place to work. People are competent, accountable and friendly",positive,Belonging
541,Canada,2021-07,Best work environment - team work,positive,Collaboration
542,Australia,2021-07,Rio Tinto is great company to work for.,positive,Inclusion
543,American,2021-07,Share options worth committing to.,positive,Belonging
544,American,2021-06,Everything about working for them,positive,Belonging
545,American,2021-06,Good mentoring &amp; were very nice to vacation students,positive,Belonging
546,American,2021-06,Many opportunities to explore and work around Generally good conditions / working arrangements Good remuneration Caring leadership,positive,Innovation
547,American,2021-06,I work with great people.,positive,Belonging
548,Australia,2021-07,Encouraging people to expose to various roles,positive,Diversity
549,American,2021-07,Company offers stable employment according to personal career desires,positive,Inclusion
550,Canada,2021-06,International company with great opportunities,positive,Inclusion
551,American,2021-07,"Great Company, lots of opportunities",positive,Belonging
552,American,2021-06,"Very nice head office with great amenities, friendly people and cooperative environment. All seem to be driven to provide successful outcomes.",positive,Collaboration
553,American,2021-06,great pay with flixible working conditions,positive,Recognition
554,American,2021-05,Lifestyle roster work life balance,positive,Collaboration
555,Singapore,2021-06,Good learning experience in the mining industry if you are willing to roll up your sleeves and do the ops work even at a senior level. Great benefits in terms of health insurance.,positive,Collaboration|Inclusion
556,Singapore,2021-05,insurance benefits are not too bad,positive,Inclusion
557,Australia,2021-06,"team members are supportive, welcoming, friendly and approachable",positive,Belonging
558,American,2021-05,"plenty of opportunities, lots to learn, supportive environment",positive,Belonging
559,United Kingdom,2021-05,Overall good work life balance,positive,Belonging
560,American,2021-05,"good salary, good people and good work place",positive,Belonging
561,Singapore,2021-05,"Good compensation package, good people, inclusive company, results driven",positive,Belonging
562,American,2021-05,Good progression paths / does hire internal for a lot of roles.,positive,Leadership
563,Canada,2021-05,"-Pay is generally above market average -Health benefits are top notch (great insurance coverage, 500$ account to spend on anything health or development or support like gym membership, or cooking classes or counselling) -Huge company with room for upwards movement if your a professional -International mobility is possible -Ok offices (its clean, but nothing flashy or exciting) in prime downtown location -Very interesting and essential industry",positive,Respect
564,American,2021-05,"Good place to work, large organizations",positive,Collaboration
565,American,2021-05,"stability, projects, social commitment, work-life balance",positive,Collaboration
566,American,2021-04,Great conditions and pay. ACCOMMODATION,positive,Belonging|Collaboration
567,American,2021-04,Regional FIFO oppurtunities instead of driving,negative,Inclusion
568,Canada,2021-04,"Great compensation, bonus and benefits.",positive,Belonging
569,American,2021-04,"Inclusive culture, many opportunities for advancement",positive,Diversity
570,American,2021-04,"Opportunity, exposure, challenge, diversity, interesting",positive,Innovation
571,Canada,2021-04,Good people Good benefits Good office Interesting and varied work,positive,Belonging
572,American,2021-04,Great place to new grads develop their skill in different areas,positive,Collaboration
573,American,2021-04,"Good work environment, nice people",positive,Belonging
574,United Kingdom,2021-03,"Salary, flexibility, team spirit, safety culture",positive,Collaboration
575,American,2021-04,"Amazing work crew, fair roster (7/7) based in the city",positive,Collaboration
576,American,2021-04,Fantastic work-life balance; Global opportunities.,positive,Belonging
577,American,2021-03,Stable Benefits 19 mines - so can go to different mines,positive,Inclusion
578,Australia,2021-03,Growth and career development possible,positive,Inclusion
579,American,2021-03,Great people and environment. Good manager,positive,Belonging
580,Australia,2021-03,Market leader. Great work life balance. Global brand.,positive,Belonging
581,Australia,2021-03,"Great company, great people, many opportunities",positive,Belonging
582,Australia,2021-03,good remuneration opportunities for overseas placement,positive,Recognition
583,Singapore,2021-03,Good benefits and remuneration Good working environment People are generally quite open to feedback,positive,Recognition
584,Canada,2021-03,There are varied experiences and projects,positive,Diversity
585,Australia,2021-03,"good compensation, work life balance",positive,Belonging
586,American,2021-03,"Great team, lots of opportunities, plenty of people to learn from",positive,Collaboration
587,Australia,2021-03,Good rosters and various regions for FIFO,positive,Collaboration
588,United Kingdom,2021-03,More then excellent salary and benefits.,positive,Belonging
589,American,2021-03,You can drive your own career - huge amount of opportunites. You need to make it happen,positive,Diversity|Collaboration
590,American,2021-03,"Salary was good, good crew",positive,Belonging
591,American,2021-03,Pays wells provide a lot of resources to complete the job,positive,Collaboration
592,American,2021-03,"Opportunities for growth, training, benefits, leave entitlements.",positive,Belonging
593,American,2021-02,Roster Frequent Flyer Points Training Base,positive,Recognition
594,American,2021-02,"Good support from management, great medical benefits, many many opportunities to avail",positive,Belonging
595,American,2021-02,Response to Covid-19 and keeping site virus free,positive,Inclusion
596,American,2021-02,"Everything, pay, team, work, culture",negative,Collaboration
597,Singapore,2021-02,"Workplace safety, Salary, Health benefits, good team commradere",positive,Collaboration
598,Singapore,2021-02,excellent culture with strong leadership in Singapore,positive,Belonging
599,United Kingdom,2021-02,Rio Tinto is a Truly global company,positive,Inclusion
600,American,2021-02,"excellent pay, good life style for a single person",positive,Recognition
601,Australia,2021-02,Overall company was good and benefits,positive,Belonging
602,Australia,2021-02,"health benefits, great package, great incentives",positive,Recognition
603,American,2021-02,It's refreshing to work somewhere where everyone is respectful and professional.,positive,Belonging
604,Singapore,2021-02,"work life balance, diversified culture",positive,Diversity
605,American,2021-02,"Great people, good company overall with great knowledge of assets. Very good working conditions",positive,Belonging
606,Canada,2021-01,Good benefit package and overall compensation HSE centric,positive,Recognition
607,American,2021-01,"Culture, flexible work arrangement, shares",positive,Collaboration
608,Canada,2021-01,"Great growth opportunities, plan ahead",positive,Innovation
609,Australia,2021-01,Good long term employment. You'll never be fired,positive,Collaboration|Inclusion
610,Canada,2021-01,+ Challenging Projects + Work Life / Balance + Good Compensation + Great Management,positive,Belonging
611,Canada,2021-01,"Good pay, good benefits and yearly bonus.",positive,Recognition
612,Canada,2021-01,Competitive pay Good advantages Good work ethic The company make a lots of effort to be a good corporate citizen (while making profits),positive,Belonging
613,American,2021-01,"Relex job , flexible hours,good environment",positive,Respect
614,Australia,2021-01,Remuneration package Any oboist reviews is required to complete,positive,Recognition
615,Australia,2021-01,Fantastic opportunities for learning and career growth.,positive,Belonging
616,American,2021-01,Flexible working hours are supported,positive,Inclusion
617,American,2021-01,"Travel, international company, good chance to move roles",positive,Inclusion
618,American,2021-01,Good Pay and thats about it,positive,Recognition
619,American,2021-01,"Strong company, strong financial performance",positive,Belonging
620,Canada,2021-01,"pay, schedule, equipment, benefits, infrastructure.",positive,Belonging
621,American,2021-01,The contractors will do it.,positive,Inclusion
622,American,2020-12,Money and experience are great,positive,Belonging
623,South Africa,2020-12,"Stable, safe, representative, global, sustainable",positive,Belonging
624,Australia,2020-12,"Subsidised medical insurance, salary and benefits",positive,Recognition
625,Australia,2020-12,"Good roster, the fly out of regional centres like Albany busso and gero",positive,Collaboration
626,Canada,2020-11,People are awesome to work with,positive,Belonging
627,Canada,2020-12,Good salary and fringe benefits. Very proficient and dedicated people. Challenging work.,positive,Recognition|Belonging|Innovation
628,Singapore,2020-12,"Started out OK initially with good pay (at the time) and environment that allowed autonomy and trusted people - that changed quickly Health Insurance in my location was excellent but will almost certainly be downgraded and removed from employees, this is already rumoured",positive,Respect
629,Singapore,2020-12,"health and safety culture, excellent benefits, global exposure",positive,Belonging
630,Australia,2020-11,"Great teamwork environment, room to grow within the organization",positive,Collaboration
631,Canada,2020-11,"Company values mental health, work-life balance, positive environment, inclusion &amp; diversity and pay is good.",positive,Belonging
632,American,2020-10,Good pay good vibe and team,positive,Collaboration
633,American,2020-10,Data Scientist is an exciting Job for 21st century,positive,Inclusion
634,American,2020-11,Good work environment Friendly people and people with a wealth of knowledge to learn from,positive,Belonging
635,American,2020-11,Good pay Great working Environment Frequent team outings,positive,Collaboration
636,American,2020-11,I was well paid not much else.,positive,Belonging
637,Australia,2020-10,Good opportunities for learning and travel,positive,Innovation
638,American,2020-11,The iron ore business is truly remarkable Technical expertise is highly valued at Rio,positive,Collaboration
639,Canada,2020-10,"Like one big family. Great people, great benefits.",positive,Belonging
640,American,2020-10,Great company to work for.,positive,Belonging
641,American,2020-10,"Culture and safety, great roster",positive,Belonging
642,Singapore,2020-09,Good expat packages Good health care benefits,positive,Inclusion
643,American,2020-10,"Job security, great roster and fantastic team.",positive,Collaboration
644,Canada,2020-09,Great culture and environment in company,positive,Belonging
645,Australia,2020-10,Great focus on safety and well being,positive,Inclusion
646,American,2020-09,"Great benefits, medical, car allowance, cash bonus.",positive,Belonging
647,Canada,2020-09,"Benefits, Career Development, Senior Leadership Quality,",positive,Belonging
648,American,2020-09,Great people and successful teams.,positive,Collaboration
649,American,2020-08,Talented people to work with,positive,Belonging
650,Australia,2020-08,great benefits Convenient location Flexible work arrangments,positive,Collaboration
651,Singapore,2020-08,Benefits and remuneration. Strong safety culture,positive,Recognition|Respect
652,Canada,2020-08,Good People at the sites,positive,Belonging
653,Singapore,2020-07,Great work/life balance and health insurance,positive,Inclusion
654,American,2020-08,well managed and interesting work,positive,Collaboration
655,American,2020-07,Good salary good lifestyle and work balamce,positive,Recognition
656,Singapore,2020-08,Pays well and good benefits,positive,Belonging
657,Singapore,2020-08,global leading mining and metal company,positive,Belonging
658,Singapore,2020-07,"Option to relocate in different areas, Good health care benefits, inclusive and supportive work culture",positive,Inclusion
659,United Kingdom,2020-07,"Long term business, international, people",positive,Collaboration
660,American,2020-05,"Pays well, large multinational with opportunities",positive,Recognition
661,Australia,2020-07,Embraces flexibility Great salary and perks,positive,Recognition
662,American,2020-06,"Supportive environment, fulfilling projects, good opportunities for development and growth.",positive,Belonging
663,Australia,2020-06,Good culture Good salary Large organization Considerate leaders (mostly),positive,Belonging
664,Australia,2020-06,Took safety seriously. Subsidised health insurance was good.,positive,Respect|Inclusion
665,American,2020-06,stability / diversity / wealth of knowledge,positive,Inclusion
666,Canada,2020-05,"Good salary, opportunities,Good work life balance",positive,Recognition
667,Singapore,2020-04,"Good work life balance, Safety is always no 1, respectful place to be in.",positive,Belonging
668,American,2020-04,Quick reply from the company,positive,Collaboration
669,Canada,2020-04,good compensation package and pension plan,positive,Recognition
670,Singapore,2020-03,great company culture with good teamwork,positive,Collaboration
671,American,2020-04,"Dencent pay, good training program",positive,Collaboration
672,Australia,2020-02,Very good safety and wellbeing systems.,positive,Belonging
673,Australia,2020-01,"Big company, good opportunities, independence",positive,Inclusion
674,Australia,2019-12,Company really does care about the people. Great culture in team.,positive,Belonging|Collaboration
675,American,2020-01,Change is a good thing. It promotes growth and can make a good organization great!,positive,Innovation|Belonging
676,Australia,2019-12,"Stable job, housing benefits, good people on the ground",positive,Belonging
677,Canada,2019-12,"Good benefits, good flexibility, multinational company",positive,Belonging
678,Canada,2020-01,"Excellent career progression, open culture, best co workers, engaged teams",positive,Collaboration
679,American,2020-01,"Progressive, interesting, pro-women equality, lots of opportunities, great a team work, great work-life balance",positive,Collaboration
680,Australia,2019-11,"Flexible work arrangements, good benefits",positive,Recognition
681,Canada,2019-10,"HUGE genuine push and activities around diversity and inclusion and mentally healthy workplace Excellent benefits, some of the best I've ever seen For an extremely large organization I do not feel like just a number, I'm managing large global projects and learning everyday. Global Opportunities Opportunity to work on global teams Flexible work schedule - work remote capability Work with true specialists in their field",positive,Belonging|Collaboration
682,American,2019-10,"Safety is considered vital. Has good processes and systems. Quite lean in organization structure for site technical services. Some good bunch of people who have been with company for quite long, who actually do the hard yards",positive,Respect|Belonging|Collaboration
683,American,2019-10,Alright wage and good roster,positive,Belonging
684,Australia,2019-10,"Opportunity, Culture, exposure, location, global",positive,Diversity
685,American,2019-09,Financially great compare to work for.,positive,Recognition
686,American,2019-08,Promotion opportunities and room to improve your skills,positive,Belonging
687,American,2019-09,Good company with great benefits,positive,Belonging
688,American,2019-08,"good job, the best i have had",positive,Belonging
689,United Kingdom,2019-07,"Generous benefits package, lots of opportunity, multinational experience, cutting edge technology and opportunity to work with some of the brightest minds.",positive,Belonging
690,American,2019-06,Supports innovation if it aligns with key buzz words,positive,Inclusion
691,American,2019-06,good $ package and development opportunities,positive,Belonging
692,Singapore,2019-07,Work life balance is balanced and respected,positive,Collaboration
693,Australia,2019-06,"Lots of opportunities to grow, great work culture, very diverse and inclusive workforce due to global operations, great benefits",positive,Belonging
694,American,2019-07,Has a great pay for the job.,positive,Recognition
695,American,2019-06,All the benefits paid and discounts,positive,Collaboration
696,Australia,2019-06,"Plenty of opportunities to be had within the large company.. if you ask for them. Very good safety culture, and emphasis on integrity &amp; respect.",positive,Belonging
697,Singapore,2019-06,well paid. good benefits. some good and well-meaning leaders - though they are few and far between.,positive,Belonging|Leadership
698,Singapore,2019-04,"-Excellent work life balance. Bosses generally flexible with what you do and suggest. -Best in class HR policy - when they say they support internal mobility and higher learning, they meant it. -Good overall pay structure.",positive,Belonging|Collaboration|Inclusion|Recognition
699,United Kingdom,2019-05,"flexibility, salary and working working conditions",positive,Recognition
700,American,2019-04,Share Program salary training and residential benefits.,positive,Inclusion
701,Singapore,2019-03,Used to be a very good place to be in,positive,Belonging
702,United Kingdom,2019-03,Work life balance and people respect,positive,Inclusion
703,South Africa,2019-01,Great culture Safety and security always a priority Diverse work,positive,Respect
704,American,2018-11,Good healthcare and good location.,positive,Inclusion
705,Singapore,2019-01,"Excellent Compensation, Solid Company with great assets, transformation process happening and innovation",positive,Belonging
706,American,2018-11,Employee perks are great People are good in general,positive,Belonging
707,American,2018-11,Rio Tinto is ideally placed to take advantage of technology advancement.,positive,Inclusion
708,Australia,2019-01,Experience good if you find yourself somewhere that management actually know what they are doing Pay is competitive,positive,Leadership
709,American,2018-11,Interesting place to work and great people,positive,Collaboration
710,Canada,2018-09,"Diversity, challanges, respect, gender equality",positive,Diversity
711,Australia,2018-09,"Good pay, good benefits for employees",positive,Recognition
712,Canada,2018-09,Above average salary renumeration for type of position,positive,Recognition
713,Australia,2018-10,If your willing to bash your way through the bulls#&amp;t it's a great way to cement a few years of stable pay and good benefits.,positive,Recognition
714,Australia,2018-11,Good “ top down” behavioural culture Mostly efficient IS Great remuneration People were accountable ad responsible within their limits of authority Supported innovation and creative ideas in any area Clear strategic direction Work life balance where it could be applied Great career opportunities and global mobility options Could trust your colleagues Great communication and transparency,positive,Belonging
715,United Kingdom,2018-09,"The renumeration package is good, but there needs to be more to a role than that",positive,Recognition
716,Australia,2018-09,"Great company, many different areas to work in",positive,Collaboration
717,American,2018-08,Great Mentors and Exceptional working environment,positive,Belonging
718,American,2018-09,Internal mobility for professional development,positive,Diversity
719,Singapore,2018-08,High pay and good benefits,positive,Recognition
720,American,2018-08,There are some terrific individuals that work there. Locations around the world so some potential for movement,positive,Belonging|Collaboration
721,Singapore,2018-08,Good health benefit and nice coffee.,positive,Belonging
722,American,2018-09,Decent pay Rio tinto overall is a good brand,positive,Recognition
723,Singapore,2018-07,Looks good on cv. That’s all.,positive,Belonging
724,Singapore,2018-07,"Forward thinking, challenging and growth opportunities",positive,Innovation
725,American,2018-07,Very capable colleagues and recently refurbished Central Park office is looking great,positive,Belonging
726,Canada,2018-04,Strong culture focused on safety Great employee benefit Good opportunity to grow and learn,positive,Belonging
727,Australia,2018-04,Enthusiastically exploit team driven infomediaries after world-class deliverables. Distinctively synergize high-quality users for efficient infomediaries. Assertively generate worldwide architectures after ubiquitous innovation. Continually myocardinate emerging infrastructures after goal-oriented.,positive,Collaboration|Innovation
728,Canada,2018-05,"Interesting benefits, home office, management adapted to modern digital culture, global culture and good salaries.... lots of promises on changes and safety and environmental responsibility",positive,Recognition
729,Canada,2018-03,Good benefits and great team work,positive,Collaboration
730,Australia,2018-04,"Pay, share scheme and regular roster for FIFO. Can pursue other activities while on the job (share trading, house hunting)",positive,Recognition|Inclusion
731,American,2018-04,"Rewarded on merit, good benefits, collaborative environment, diverse career path, flexible working, senior leadership learning from past mistakes, culture and values very good",positive,Collaboration
732,Canada,2018-03,"Salary above market, People, facilities",positive,Belonging
733,Australia,2018-03,"Great career development, Technical Development",positive,Belonging
734,American,2018-02,Lot's of exciting projects to work on,positive,Innovation
735,American,2018-03,Good global exposure and solid vision.,positive,Belonging
736,United Kingdom,2018-02,"good industry and good positioning in sector to provide roles particularly in Brisbane, Perth (oz) and Montreal (Canada)",positive,Collaboration
737,Australia,2018-03,"Professional, Safety focused, Helpful, Good training",positive,Belonging
738,Singapore,2018-02,1. Global organisation with potential to move around the world (if you align yourself with the right people) 2. Above market salary,positive,Belonging|Collaboration|Recognition
739,Singapore,2018-02,"Strong brand name, and interesting sector. Clear strategic directives on what the organization is trying to achieve. People are generally nice and you get to learn by rubbing shoulders with some of the best talents available in the market. The inherent nature of the business is integral to the modern world, and one can really see what the business is contributing to societies.",positive,Collaboration|Belonging
740,Singapore,2018-02,"Great for new comers, many benefits and good salary",positive,Belonging
741,Singapore,2018-02,RT is a company with values where you can relatively balance work and private life . Space is given for autonomy - Stable income,positive,Collaboration|Respect
742,American,2018-01,"Global organisation. Exciting technology in mining. Great people to work with, lots of collaboration. Constant change which exciting. Salaries are competitive and a great health and share purchase scheme.",positive,Collaboration|Innovation|Belonging
743,Singapore,2018-01,"Senior management are putting in place initiatives so as to engage with employees more. Work culture is great, with a strong push for diversity and inclusion and breaking down silos",positive,Belonging|Collaboration
744,Singapore,2018-01,"Relatively flat hierarchy in the company, it is easy to raise concerns or issues with higher management directly. Allows for all employees' voices to be heard. Work-life balance is well advocated too, with good employee benefits.",positive,Collaboration|Inclusion
745,American,2018-01,"Good teams, respect and excellent pay",positive,Collaboration
746,Canada,2017-12,Employee with high degree of skills and environment with many challenges. You need to be competitive and be in the same degree.,positive,Collaboration|Leadership
747,Canada,2018-01,"• Opportunity to bring your career to next level • Opportunity to work with the best talent in the mining industry • Competitive salary and benefits for Montreal • Working for a prestigious and recognized company • Opportunity to grow quickly if working hard and international opportunities. Career development • Opportunity to travel • Strong culture and values, making you proud to be part of this global company",positive,Recognition|Belonging
748,American,2017-12,"Feel part of a team, generally take safety very seriously. Reasonable communication to all employees. Good pay, nice place to work.",positive,Collaboration|Inclusion|Belonging
749,Canada,2017-10,"Good Benefits, employee share purchase plan",positive,Collaboration
750,Australia,2017-11,Good working culture and work life balance,positive,Collaboration
751,Australia,2017-11,"The company has a great share scheme, medcial cover and other salary packaging benefits",positive,Collaboration
752,Australia,2017-09,Good health benefits. Pay is inline with industry standard with access to salary sacrifice,positive,Belonging|Recognition
753,Australia,2017-08,"Fantastic salary, great work opportunities in a global business. Can really offer interesting work in a range of fields across many countries and disciplines",positive,Recognition|Collaboration
754,Singapore,2017-08,"Relaxed working environment, senior management team are approachable, flexible working arrangements, diverse culture with strong focus on health & safety and employee well-being. Generally a supportive and collaborative working environment.",positive,Belonging|Collaboration
755,United Kingdom,2017-07,Learnt a lot at Rio Tinto given the company's hard work ethics and excellent colleagues working alongside me.,positive,Collaboration
756,American,2017-05,"Good wages, big company, good people working there. Helped a lot of people carve out good careers.",positive,Belonging
757,American,2017-05,"Work life balance, Decent Pay, Fairly Challenging",positive,Recognition
758,Australia,2017-04,"Good pay, relaxed work environment, great safety culture and good place to learn and grow.",positive,Belonging
759,United Kingdom,2017-05,Salary and benefits which included free lunch was great. Some people were ok.,positive,Recognition|Collaboration
760,Canada,2017-04,"Decent salaries compared to similar sized companies in Quebec, above average health benefits",positive,Recognition
761,Australia,2017-03,Great company with awesome assets,positive,Belonging
762,American,2017-04,Good global company. Well respected in industry. strong focus on production and returning shareholder value.,positive,Collaboration|Belonging|Leadership
763,American,2017-03,"Good culture, excellent people, highly intelligent management.",positive,Belonging
764,Canada,2017-02,"Great pay, great staff, and well funded.",positive,Belonging
765,American,2017-02,"Good benefits, very good salary, good safety culture, long holiday and holiday mood at work, pretty good if you want a comfortable and stable (and lazy) life.",positive,Recognition
766,American,2017-02,Decent wages and usually an understanding culture,positive,Recognition
767,Canada,2017-01,"Operational Site, Great relationship, love the community, quality of life is high, fishing and camping is unreal, hockey programs are great, community spirit",positive,Collaboration
768,United Kingdom,2017-01,Good solid multi national company. Responsible miner from all stakeholder viewpoints. High health and safety focus and strong anti bribery & corruption stance.,positive,Collaboration|Inclusion|Respect
769,American,2017-01,"Work life balance (if you're in a city based role), Leader in mining",positive,Collaboration
770,Australia,2016-12,Excellent work environment to work and learn,positive,Belonging
771,United Kingdom,2016-12,Good benefits (15% contributory pension; car allowance; share package; free lunch),positive,Recognition
772,Australia,2016-12,"- good pay, and that is literally about it",positive,Recognition
773,American,2016-11,Good exposure to different facets of mining- above par salary and world class work mates.,positive,Belonging
774,United Kingdom,2016-11,"Great company, great atmosphere to work in and there is always someone friendly to talk to and we all get along well that is to say really well.",positive,Belonging
775,United Kingdom,2016-11,"Benefits are competative, location is adequate",positive,Collaboration
776,United Kingdom,2016-11,"Great orebodies, good cost structures and very talented technical professionals Salaries and conditions are ok but when you recruit and develop the best you shouldn't pay at the 66th percentile",positive,Collaboration
777,Singapore,2016-08,Very diverse set of people. Working in a global commercial location in a multinational firm has its usual advantages of getting exposure to diversity and cultural richness. Challenging work environment allows you to enjoy a steep learning curve at work. The working standards of people around you are very high.,positive,Diversity|Innovation|Belonging
778,Australia,2016-10,"Good work life balance, well paid, flexibility, good superannuation, friendly staff",positive,Belonging
779,Australia,2016-08,"Great camp, great people. would ho back",positive,Belonging|Respect
780,United Kingdom,2016-08,Great company to work for - great prospects for promotion and travel - if you work hard and are dedicated.,positive,Belonging
781,Australia,2016-09,"Great Pay, Meaningful Work, Friendly Work Environment",positive,Belonging
782,American,2016-08,Very capable Central integrated planning team,positive,Collaboration
783,Canada,2016-09,Excellent forward looking company. Very committed to long term profit maximization by optimal use of each team member. *Hydroelectric as a green competitive advantage. *Consistently aimed and attained a leadership status in metal industries. *Very ethical company *Good balance it maximizing satisfaction for all stakeholders.,positive,Innovation|Collaboration|Belonging
784,Australia,2016-09,good salary One fix client - no need to move all the time,positive,Recognition
785,Australia,2016-10,Great work life balance. Good place to work and competitive salary. Great graduate program where they can develop into professionals with a great future.,positive,Belonging|Recognition|Inclusion
786,Singapore,2016-09,"multinations, diversity, opportunities, locations, growth",positive,Diversity
787,American,2016-08,"Great salary and job security. While other mines were shutting and laying off large numbers Rio Tinto Iron Ore was not, or having much smaller redundancies. Good benefits - health insurance, share schemes and deals with other businesses.",positive,Belonging|Inclusion
788,United Kingdom,2016-08,"Huge and varied scope of global role, at the forefront of technology and innovation, lots of recognition and respect, ability to influence technology direction",positive,Belonging
789,American,2016-08,Not many these days. They used to be a good company to work for but their senior leadership is badly out of touch with what's going on with the business.,negative,Collaboration|Leadership
790,American,2016-07,During the boom times they were plenty of opportunities for training and growth. Great employee benefits including assistance with health insurance.,positive,Inclusion|Belonging
791,United Kingdom,2016-06,Travel a lot and get to work in some very interesting places. Work with some talented people from many different sectors and industries.,positive,Collaboration
792,Canada,2016-06,Competitive remuneration package One of the few largest and well known companies in Montreal,positive,Recognition
793,American,2016-05,Boom time equalled big budgets so lots of projects; good exposure to office and site work and opportunity to network with varying stakeholders both in and outside of the company.,positive,Innovation
794,Australia,2016-05,"Great culture (prior to Walsh-led 'Final Solution'). A leader in H&S without question and without peer. Things just got done (initially) - relatively streamlined bureaucracy compared with other organisations I've worked for. Excellent travel and re-location opportunities, but you really have to work hard to chase them and build your internal network - which I did, but that's hard for some people. Very good salaries for most (on eastern seaboard Aus). Have heard some parts of the globe RT is a bit behind its peers in remuneration",positive,Belonging|Collaboration|Recognition
795,Australia,2016-05,"TeamWork, Social Environment, Site facilities",positive,Collaboration
796,Singapore,2016-04,Over-the-market compensation Office location Cultural diversity Several business units located in the same office gives you a chance to network outside of your department,positive,Diversity
797,Canada,2016-05,Great growth opportunities in global company.,positive,Belonging
798,American,2016-04,"Good introduction to large corporate systems, good site experience, friendly people, good work/life balance and rosters.",positive,Belonging
799,American,2016-05,The teams were great and collaborated constantly across a variety of projects/departments. I got enthusiastic help whenever I asked for it.,positive,Collaboration
